M,N,expEuler_trunc
500,20,6.49898e+43
500,40,6.35268e+78
500,80,-9.35547e+136
500,160,-1.03724e+237
500,320,-nan(ind)
500,640,-nan(ind)
500,1280,-nan(ind)
500,2560,-nan(ind)
500,5120,-nan(ind)
