S_0,expEuler,impEuler,CN,ADE,BT
0.272265,49.7277,49.7277,49.7277,49.7277,49.7277
0.27551,49.7245,49.7245,49.7245,49.7245,49.7245
0.278772,49.7212,49.7212,49.7212,49.7212,49.7212
0.282051,49.7179,49.7179,49.7179,49.7179,49.7179
0.285347,49.7147,49.7147,49.7147,49.7147,49.7147
0.28866,49.7113,49.7113,49.7113,49.7113,49.7113
0.29199,49.708,49.708,49.708,49.708,49.708
0.295337,49.7047,49.7047,49.7047,49.7047,49.7047
0.298701,49.7013,49.7013,49.7013,49.7013,49.7013
0.302083,49.6979,49.6979,49.6979,49.6979,49.6979
0.305483,49.6945,49.6945,49.6945,49.6945,49.6945
0.308901,49.6911,49.6911,49.6911,49.6911,49.6911
0.312336,49.6877,49.6877,49.6877,49.6877,49.6877
0.315789,49.6842,49.6842,49.6842,49.6842,49.6842
0.319261,49.6807,49.6807,49.6807,49.6807,49.6807
0.322751,49.6772,49.6772,49.6772,49.6772,49.6772
0.32626,49.6737,49.6737,49.6737,49.6737,49.6737
0.329787,49.6702,49.6702,49.6702,49.6702,49.6702
0.333333,49.6667,49.6667,49.6667,49.6667,49.6667
0.336898,49.6631,49.6631,49.6631,49.6632,49.6631
0.340483,49.6595,49.6595,49.6595,49.6596,49.6595
0.344086,49.6559,49.6559,49.6559,49.6561,49.6559
0.347709,49.6523,49.6523,49.6523,49.6525,49.6523
0.351351,49.6486,49.6486,49.6486,49.6489,49.6486
0.355014,49.645,49.645,49.645,49.6453,49.645
0.358696,49.6413,49.6413,49.6413,49.6416,49.6413
0.362398,49.6376,49.6376,49.6376,49.638,49.6376
0.36612,49.6339,49.6339,49.6339,49.6343,49.6339
0.369863,49.6301,49.6301,49.6301,49.6306,49.6301
0.373626,49.6264,49.6264,49.6264,49.6269,49.6264
0.37741,49.6226,49.6226,49.6226,49.6232,49.6226
0.381215,49.6188,49.6188,49.6188,49.6194,49.6188
0.385042,49.615,49.615,49.615,49.6156,49.615
0.388889,49.6111,49.6111,49.6111,49.6118,49.6111
0.392758,49.6072,49.6072,49.6072,49.608,49.6072
0.396648,49.6034,49.6034,49.6034,49.6041,49.6034
0.40056,49.5994,49.5994,49.5994,49.6003,49.5994
0.404494,49.5955,49.5955,49.5955,49.5964,49.5955
0.408451,49.5915,49.5915,49.5915,49.5925,49.5915
0.412429,49.5876,49.5876,49.5876,49.5885,49.5876
0.416431,49.5836,49.5836,49.5836,49.5846,49.5836
0.420455,49.5795,49.5795,49.5795,49.5806,49.5795
0.424501,49.5755,49.5755,49.5755,49.5766,49.5755
0.428571,49.5714,49.5714,49.5714,49.5725,49.5714
0.432665,49.5673,49.5673,49.5673,49.5685,49.5673
0.436782,49.5632,49.5632,49.5632,49.5644,49.5632
0.440922,49.5591,49.5591,49.5591,49.5603,49.5591
0.445087,49.5549,49.5549,49.5549,49.5562,49.5549
0.449275,49.5507,49.5507,49.5507,49.552,49.5507
0.453488,49.5465,49.5465,49.5465,49.5479,49.5465
0.457726,49.5423,49.5423,49.5423,49.5437,49.5423
0.461988,49.538,49.538,49.538,49.5395,49.538
0.466276,49.5337,49.5337,49.5337,49.5352,49.5337
0.470588,49.5294,49.5294,49.5294,49.5309,49.5294
0.474926,49.5251,49.5251,49.5251,49.5266,49.5251
0.47929,49.5207,49.5207,49.5207,49.5223,49.5207
0.48368,49.5163,49.5163,49.5163,49.518,49.5163
0.488095,49.5119,49.5119,49.5119,49.5136,49.5119
0.492537,49.5075,49.5075,49.5075,49.5092,49.5075
0.497006,49.503,49.503,49.503,49.5048,49.503
0.501502,49.4985,49.4985,49.4985,49.5003,49.4985
0.506024,49.494,49.494,49.494,49.4958,49.494
0.510574,49.4894,49.4894,49.4894,49.4913,49.4894
0.515152,49.4848,49.4848,49.4848,49.4868,49.4848
0.519757,49.4802,49.4802,49.4802,49.4822,49.4802
0.52439,49.4756,49.4756,49.4756,49.4776,49.4756
0.529052,49.4709,49.4709,49.4709,49.473,49.4709
0.533742,49.4663,49.4663,49.4663,49.4683,49.4663
0.538462,49.4615,49.4615,49.4615,49.4637,49.4615
0.54321,49.4568,49.4568,49.4568,49.4589,49.4568
0.547988,49.452,49.452,49.452,49.4542,49.452
0.552795,49.4472,49.4472,49.4472,49.4494,49.4472
0.557632,49.4424,49.4424,49.4424,49.4446,49.4424
0.5625,49.4375,49.4375,49.4375,49.4398,49.4375
0.567398,49.4326,49.4326,49.4326,49.435,49.4326
0.572327,49.4277,49.4277,49.4277,49.4301,49.4277
0.577287,49.4227,49.4227,49.4227,49.4251,49.4227
0.582278,49.4177,49.4177,49.4177,49.4202,49.4177
0.587302,49.4127,49.4127,49.4127,49.4152,49.4127
0.592357,49.4076,49.4076,49.4076,49.4102,49.4076
0.597444,49.4026,49.4026,49.4026,49.4051,49.4026
0.602564,49.3974,49.3974,49.3974,49.4001,49.3974
0.607717,49.3923,49.3923,49.3923,49.395,49.3923
0.612903,49.3871,49.3871,49.3871,49.3898,49.3871
0.618123,49.3819,49.3819,49.3819,49.3846,49.3819
0.623377,49.3766,49.3766,49.3766,49.3794,49.3766
0.628664,49.3713,49.3713,49.3713,49.3742,49.3713
0.633987,49.366,49.366,49.366,49.3689,49.366
0.639344,49.3607,49.3607,49.3607,49.3636,49.3607
0.644737,49.3553,49.3553,49.3553,49.3582,49.3553
0.650165,49.3498,49.3498,49.3498,49.3528,49.3498
0.655629,49.3444,49.3444,49.3444,49.3474,49.3444
0.66113,49.3389,49.3389,49.3389,49.3419,49.3389
0.666667,49.3333,49.3333,49.3333,49.3364,49.3333
0.672241,49.3278,49.3278,49.3278,49.3309,49.3278
0.677852,49.3221,49.3221,49.3221,49.3253,49.3221
0.683502,49.3165,49.3165,49.3165,49.3197,49.3165
0.689189,49.3108,49.3108,49.3108,49.3141,49.3108
0.694915,49.3051,49.3051,49.3051,49.3084,49.3051
0.70068,49.2993,49.2993,49.2993,49.3027,49.2993
0.706485,49.2935,49.2935,49.2935,49.2969,49.2935
0.712329,49.2877,49.2877,49.2877,49.2911,49.2877
0.718213,49.2818,49.2818,49.2818,49.2853,49.2818
0.724138,49.2759,49.2759,49.2759,49.2794,49.2759
0.730104,49.2699,49.2699,49.2699,49.2735,49.2699
0.736111,49.2639,49.2639,49.2639,49.2675,49.2639
0.74216,49.2578,49.2578,49.2578,49.2615,49.2578
0.748252,49.2517,49.2517,49.2517,49.2555,49.2517
0.754386,49.2456,49.2456,49.2456,49.2494,49.2456
0.760563,49.2394,49.2394,49.2394,49.2432,49.2394
0.766784,49.2332,49.2332,49.2332,49.2371,49.2332
0.77305,49.227,49.227,49.227,49.2308,49.227
0.779359,49.2206,49.2206,49.2206,49.2246,49.2206
0.785714,49.2143,49.2143,49.2143,49.2183,49.2143
0.792115,49.2079,49.2079,49.2079,49.2119,49.2079
0.798561,49.2014,49.2014,49.2014,49.2055,49.2014
0.805054,49.1949,49.1949,49.1949,49.1991,49.1949
0.811594,49.1884,49.1884,49.1884,49.1926,49.1884
0.818182,49.1818,49.1818,49.1818,49.186,49.1818
0.824818,49.1752,49.1752,49.1752,49.1795,49.1752
0.831502,49.1685,49.1685,49.1685,49.1728,49.1685
0.838235,49.1618,49.1618,49.1618,49.1661,49.1618
0.845018,49.155,49.155,49.155,49.1594,49.155
0.851852,49.1481,49.1481,49.1481,49.1526,49.1481
0.858736,49.1413,49.1413,49.1413,49.1458,49.1413
0.865672,49.1343,49.1343,49.1343,49.1389,49.1343
0.872659,49.1273,49.1273,49.1273,49.132,49.1273
0.879699,49.1203,49.1203,49.1203,49.125,49.1203
0.886792,49.1132,49.1132,49.1132,49.1179,49.1132
0.893939,49.1061,49.1061,49.1061,49.1108,49.1061
0.901141,49.0989,49.0989,49.0989,49.1037,49.0989
0.908397,49.0916,49.0916,49.0916,49.0965,49.0916
